업종,상호,지번주소,도로명주소
체력단련장업,AII For U GYM,서울특별시 성동구 금호동4가 800 대우(아)상가 201호 ,"서울특별시 성동구 독서당로 272, 상가동 201호 (금호동4가, 금호동 대우아파트)"
체력단련장업,(주)옥수 투엑스 휘트니스,서울특별시 성동구 옥수동 474 ,"서울특별시 성동구 독서당로 166, B201호 (옥수동, 성원상떼뷰)"
체력단련장업,올림픽휘트니스,서울특별시 성동구 성수동2가 339-5 뚝섬쇼핑센타 ,"서울특별시 성동구 뚝섬로 400, 뚝섬쇼핑센타 3층 (성수동2가)"
체력단련장업,스타트 짐,서울특별시 성동구 성수동2가 561-1 국민은행 ,"서울특별시 성동구 성덕정길 106, 승재빌딩  4층 (성수동2가)"
체력단련장업,짐아서 휘트니스,서울특별시 성동구 성수동1가 22-5 경동빌딩 ,"서울특별시 성동구 성수일로 39, 경동빌딩 지층 (성수동1가)"
체력단련장업,라온 휘트니스,서울특별시 성동구 마장동 791-1 ,"서울특별시 성동구 마장로 302, 지하1,2층 (마장동)"
체력단련장업,웰트짐,서울특별시 성동구 성수동2가 315-69 홍일빌딩 ,"서울특별시 성동구 연무장5가길 21, 홍일빌딩 지하2층 (성수동2가)"
체력단련장업,동우헬스,서울특별시 성동구 용답동 69-4 ,"서울특별시 성동구 천호대로 296, 5층 (용답동)"
체력단련장업,시티짐 답십리,서울특별시 성동구 용답동 62-2 인암빌딩 ,"서울특별시 성동구 천호대로 308, 인암빌딩 지하2층 (용답동)"
체력단련장업,포시즌 휘트니스,서울특별시 성동구 행당동 168-1 6층 ,서울특별시 성동구 왕십리광장로 17 (행당동)
체력단련장업,풍림휘트니스,서울특별시 성동구 하왕십리동 1061 왕십리풍림아이원 ,"서울특별시 성동구 난계로 84 (하왕십리동, 왕십리풍림아이원)"
체력단련장업,팀키스,서울특별시 성동구 금호동3가 1331 두산아파트 상가동 4층 ,"서울특별시 성동구 동호로 102, 4층 (금호동3가, 두산아파트상가)"
체력단련장업,노블휘트니스,서울특별시 성동구 성수동1가 706 쌍용아파트 ,"서울특별시 성동구 상원길 63, A동 지하1층 01호 (성수동1가, 쌍용아파트)"
체력단련장업,고릴라 멀티짐,서울특별시 성동구 행당동 347 행당동 대림아파트 ,"서울특별시 성동구 행당로 75, 행당동 대림아파트 6층 (행당동)"
체력단련장업,왕십리역점 스포애니 주)케이디스포츠,서울특별시 성동구 도선동 58-1 ,"서울특별시 성동구 왕십리로 326, 지하1층 (도선동)"
체력단련장업,센트리얼 휘트니스 옥수점,서울특별시 성동구 옥수동 560 옥수 어울림 ,"서울특별시 성동구 독서당로40길 39, 옥수 어울림 (옥수동)"
체력단련장업,파크짐,서울특별시 성동구 행당동 287-15 왕십리역이스타빌 ,"서울특별시 성동구 왕십리로 309, 왕십리역이스타빌 지하1,2층 (행당동)"
체력단련장업,스타트짐,서울특별시 성동구 행당동 286-18 ,서울특별시 성동구 왕십리로21길 6 (행당동)
체력단련장업,파크짐,서울특별시 성동구 행당동 376 ,"서울특별시 성동구 고산자로 177, B01호 (행당동, 서울숲행당푸르지오아파트 근린생활시설동)"
체력단련장업,퀸스테이지,서울특별시 성동구 성수동2가 289-20 ,"서울특별시 성동구 아차산로7길 21, 2층 (성수동2가)"
체력단련장업,파크짐,"서울특별시 성동구 하왕십리동 866-2 삼협빌딩 지하1,2층 ","서울특별시 성동구 왕십리로 386, 지하1,2층 (하왕십리동, 삼협빌딩)"
체력단련장업,MSC,서울특별시 성동구 상왕십리동 8-9 ,"서울특별시 성동구 마장로19길 29, 221동 1층 240호 (상왕십리동)"
체력단련장업,에코 휘트니스,서울특별시 성동구 성수동2가 314-5 광명타워 지하2호호,서울특별시 성동구 아차산로 92 (성수동2가)
체력단련장업,건강과땀 휘트니스센타,서울특별시 성동구 행당동 17 ,"서울특별시 성동구 왕십리로 222 (행당동, 한양대역)"
체력단련장업,인피니티 퍼스널 트레이닝,서울특별시 성동구 금호동1가 481-5 ,"서울특별시 성동구 행당로 6 (금호동1가, 신세계오피스텔)"
체력단련장업,피네테스,서울특별시 성동구 옥수동 244-11 4층 ,"서울특별시 성동구 독서당로 194-1, 4층 (옥수동, 골든게이트)"
체력단련장업,허니바디 스포츠,서울특별시 성동구 성수동1가 13-436 ,"서울특별시 성동구 상원6길 5, B1층 (성수동1가)"
체력단련장업,BAN(반),서울특별시 성동구 금호동1가 633 ,"서울특별시 성동구 금호로 100, 상가동 210~216호 (금호동1가, 벽산아파트)"
체력단련장업,레이 휘트니스,서울특별시 성동구 행당동 128-22 ,"서울특별시 성동구 왕십리로 257, 지하1층 (행당동)"
체력단련장업,이루어짐 헬스,서울특별시 성동구 성수동2가 289-257 ,서울특별시 성동구 성수일로8길 55 (성수동2가)
체력단련장업,바른몸 PT STUDIO,서울특별시 성동구 옥수동 528 ,"서울특별시 성동구 매봉길 50, 상가동 106호,107호 (옥수동, 옥수파크힐스)"
체력단련장업,피트니스 에이치(Fitness. H),서울특별시 성동구 송정동 92-25 경한빌딩 ,"서울특별시 성동구 동일로 273, 경한빌딩 2,3층 (송정동)"
체력단련장업,센트라스 투엑스 주식회사,서울특별시 성동구 하왕십리동 700 ,"서울특별시 성동구 왕십리로 410, L동 314호 외 1호 (하왕십리동, 센트라스)"
체력단련장업,D_GYM,서울특별시 성동구 성수동1가 13-155 ,서울특별시 성동구 상원길 46 (성수동1가)
체력단련장업,커브스 금호클럽,서울특별시 성동구 금호동4가 544 ,"서울특별시 성동구 독서당로 302, 3층 (금호동4가)"
체력단련장업,테라피티,서울특별시 성동구 성수동1가 13-135 ,"서울특별시 성동구 상원길 52, B1층 (성수동1가)"
체력단련장업,위드짐 금호점(WITHGYM),"서울특별시 성동구 금호동4가 56-1 힐스테이트 금호 B1층 20-8호, 20-9호 상가동 ","서울특별시 성동구 독서당로 344, 힐스테이트 금호 상가동 B1층 20-8호, 20-9호 (금호동4가)"
체력단련장업,메디앤핏,서울특별시 성동구 홍익동 396-1 김원자산부인과 2층 ,"서울특별시 성동구 무학로 18, 김원자산부인과 2층 (홍익동)"
체력단련장업,(주)넉아웃,서울특별시 성동구 성수동1가 685-450 ,"서울특별시 성동구 서울숲2길 18-11, 2층 (성수동1가)"
체력단련장업,탑핏(TOPFIT),서울특별시 성동구 성수동2가 315-4 MG빌딩 B1층 ,"서울특별시 성동구 성수이로 89, MG빌딩 B1층 (성수동2가)"
체력단련장업,퀄핏 건강운동센터,서울특별시 성동구 성수동2가 289-14 지하1층 ,"서울특별시 성동구 성수일로8길 39, 지하1층 (성수동2가)"
